Adsorption
Relative Pressure, Sample V (mmol/g), Sample C (mmol/g)

0.00814, 1.035338733, 1.131880514
0.0181, 1.187669763, 1.293767237
0.0234, 1.236661714, 1.341211067
0.0282, 1.277815804, 1.393328958
0.0395, 1.352722181, 1.457684174
0.049, 1.403097184, 1.518591936
0.0596, 1.451578471, 1.569651835
0.0696, 1.491636389, 1.610278188
0.0734, 1.50438127, 1.62858176
0.0796, 1.528488374, 1.654835384
0.0907, 1.566012379, 1.688334902
0.1, 1.593757465, 1.725204278
0.15, 1.729383235, 1.871450394
0.2, 1.846732385, 2.003757392
0.249, 1.961519845, 2.129630968
0.3, 2.077093064, 2.260694783
0.35, 2.200838208, 2.394656559
0.4, 2.332653168, 2.540803063
0.45, 2.478788416, 2.70712062
0.5, 2.645891624, 2.900942994
0.551, 2.855740279, 3.126574503
0.6, 3.117936033, 3.421928452
0.649, 3.473723418, 3.814297289
0.7, 4.001434795, 4.38414901
0.75, 4.87350867, 5.274906687
0.799, 5.96897343, 6.254336995
0.851, 6.273768992, 6.350274581
0.9, 6.293295832, 6.373837838
0.926, 6.30229186, 6.392843193
0.95, 6.310228609, 6.463283633
0.96, 6.320443348, 6.485023303
0.971, 6.323114337, 6.485934751
0.981, 6.325904565, 6.486736533
0.999, 6.344291073, 6.491045075

Desorption
Relative Pressure, Sample V (mmol/g), Sample C (mmol/g)

0.999, 6.344291073, 6.491045075
0.951, 6.300759985, 6.483421149
0.954, 6.300367617, 6.481818968
0.947, 6.301702777, 6.479857815
0.923, 6.299424157, 6.471377605
0.898, 6.293845745, 6.43635049
0.85, 6.282962089, 6.373257462
0.799, 6.273415636, 6.339363199
0.75, 6.256089784, 6.305938265
0.696, 6.235581335, 6.272982688
0.65, 6.218687375, 6.230994452
0.601, 3.71863249, 3.718691106
0.551, 3.076954731, 3.185800058
0.501, 2.666125057, 2.906826813
0.449, 2.471971923, 2.709733861
0.399, 2.318694172, 2.54181973
0.35, 2.190454412, 2.392524082
0.299, 2.070645956, 2.263341228
0.25, 1.962211273, 2.138473242
0.2, 1.851521424, 2.014329028
0.151, 1.736781149, 1.886549464
0.1, 1.603053064, 1.742775735
0.0506, 1.428107792, 1.553049891
0.0259, 1.285390553, 1.399262582
