Pore Diameter (A), Sample V (cm^3 / g / A), Sample C (cm^3 / g / A)

14.98, 0.000615935, 0.000786
15.64, 0.00060762, 0.000718
16.31, 0.000477474, 0.00041
16.97, 0.000316641, 9.07e-05
17.8, 0.000116078, 0.0
18.68, 8.10509e-05, 0.0
19.48, 0.0, 0.0
20.27, 0.0, 0.0
21.07, 0.0, 0.0
21.86, 0.0, 0.0
22.66, 0.0, 0.0
23.45, 0.0, 0.0
24.25, 0.0, 0.0
25.04, 0.0, 0.0
25.83, 0.0, 0.0
27.03, 0.0, 0.0
28.22, 0.0, 0.0
29.41, 0.0, 0.0
30.6, 0.0, 0.0
31.79, 0.0, 1.28e-05
32.98, 0.0, 0.00018
34.18, 0.0, 0.000364
35.37, 9.51875e-05, 0.000597
36.56, 0.000241567, 0.000604
37.75, 0.000428549, 0.000806
39.34, 0.00044105, 0.0007
40.93, 0.000614753, 0.000928
42.52, 0.000740339, 0.00103
44.11, 0.000907361, 0.00127
45.7, 0.000986328, 0.0013
47.28, 0.00115976, 0.00156
48.87, 0.00153746, 0.00216
50.86, 0.00154611, 0.00203
52.85, 0.00185831, 0.0023
54.83, 0.00216293, 0.00265
56.82, 0.00256339, 0.00304
58.8, 0.0031398, 0.00369
60.79, 0.00381488, 0.00439
63.17, 0.00361476, 0.00403
65.56, 0.0048347, 0.00557
67.94, 0.00469975, 0.0052
70.32, 0.00567334, 0.00613
73.1, 0.00626294, 0.00664
75.88, 0.00556353, 0.00582
78.67, 0.00442513, 0.00429
81.45, 0.00524498, 0.00469
84.62, 0.00506828, 0.00451
87.8, 0.00416135, 0.00364
90.98, 0.00387102, 0.00343
94.16, 0.00205101, 0.00148
97.73, 0.000821705, 0.000205
101.31, 0.000745688, 0.000171
104.88, 0.000709341, 0.000163
108.85, 0.000571634, 0.000131
112.83, 0.00055263, 0.00013
116.8, 0.000194439, 9.93e-05
121.17, 0.0, 8.2e-06
125.54, 0.0, 1.6e-06
129.91, 0.0, 3.51e-07
134.67, 0.0, 1.29e-06
139.44, 0.0, 1.19e-07
144.60001, 0.0, 0.0
149.77, 0.0, 1.41e-06
155.33, 0.0, 2.52e-07
160.89, 0.0, 6.37e-06
166.85001, 0.0, 8.84e-06
172.81, 0.0, 7.93e-06
179.16, 0.0, 6.82e-06
185.52, 0.0, 7.44e-06
192.27, 0.0, 6.34e-06
199.02, 0.0, 5.42e-06
206.17, 0.0, 1.79e-05
213.72, 0.0, 4.16e-05
221.27, 0.0, 3.49e-05
229.21001, 0.0, 3.66e-05
237.55, 0.0, 3.8e-05
246.28999, 0.0, 3.45e-05
255.03, 0.0, 3.18e-05
264.17001, 0.0, 2.99e-05
273.70001, 0.0, 2.31e-05
283.63, 0.0, 1.84e-05
293.95999, 0.0, 7.93e-06
304.67999, 4.20068e-06, 3.05e-06
315.41, 2.6997e-06, 2.74e-06
326.53, 0.0, 2.22e-06
338.04999, 0.0, 2.32e-06
349.97, 0.0, 2.52e-06
362.28, 0.0, 1.46e-06
374.98999, 0.0, 1.72e-06
388.10001, 0.0, 1.81e-06
401.60001, 0.0, 1.71e-06
415.51001, 0.0, 1.39e-06
429.81, 0.0, 1.12e-06
444.5, 0.0, 1.17e-06
459.60001, 0.0, 1.03e-06
475.09, 0.0, 8.25e-07
490.98001, 0.0, 8.38e-07
507.26999, 0.0, 1.01e-06
523.95001, 0.0, 3.72e-07
541.03003, 0.0, 8.02e-07
558.51001, 0.0, 5.98e-07
576.38, 0.0, 5.38e-07
594.65002, 0.0, 5.13e-07
613.32001, 0.0, 4.56e-07
632.39001, 0.0, 5.7e-07
651.84998, 0.0, 6.26e-07
671.71002, 0.0, 1.21e-06
691.96997, 0.0, 6.93e-07
712.63, 0.0, 0.0
733.67999, 0.0, 0.0
755.13, 1.36854e-07, 0.0
776.97998, 1.13958e-06, 8.11e-07
