Sample V (Adsorption),,,,,,,,,Sample V (Desorption),,,,,,,,,Sample C (Adsorption),,,,,,,,,Sample C (Desorption),,,,,,,
Nominal Values,,,,,,,,,Nominal Values,,,,,,,,,Nominal Values,,,,,,,,,Nominal Values,,,,,,,
Relative Pressure,Mass (kg),Relative Adsorption (g_w / g),P_Speed (m/s),S_Speed (m/s),Longitudinal Modulus (GPa),Shear Modulus (GPa),Bulk Modulus (GPa),,Relative Pressure,Mass (kg),Relative Adsorption (g_w / g),P_Speed (m/s),S_Speed (m/s),Longitudinal Modulus (GPa),Shear Modulus (GPa),Bulk Modulus (GPa),,Relative Pressure,Mass (kg),Relative Adsorption (g_w / g),P_Speed (m/s),S_Speed (m/s),Longitudinal Modulus (GPa),Shear Modulus (GPa),Bulk Modulus (GPa),,Relative Pressure,Mass (kg),Relative Adsorption (g_w / g),P_Speed (m/s),S_Speed (m/s),Longitudinal Modulus (GPa),Shear Modulus (GPa),Bulk Modulus (GPa)
0,0.001136,0,,,,,,,0.98,0.001402,0.2338,3372.423376,1916.145843,19.82262417,6.399323828,11.2901924,,0,0.001616,0,,,,,,,0.98,0.002008,0.2427,3303.569663,1890.594171,20.35312796,6.665931609,11.46521914
0.12,0.001181,0.0396,3404.958387,2100.736085,17.02600563,6.479206773,8.381413155,,0.93,0.001396,0.2285,3370.633201,1916.724233,19.71542971,6.37532789,11.21499252,,0.12,0.001668,0.0321,3294.969653,2057.032675,16.81645775,6.554115085,8.077637639,,0.93,0.002001,0.2382,3298.649721,1892.193152,20.2197988,6.653273255,11.34876779
0.3,0.001194,0.0508,3408.614002,2100.041339,17.24602159,6.546195422,8.51641464,,0.88,0.001393,0.2258,3353.189365,1917.534787,19.46995958,6.367007961,10.98061563,,0.3,0.001689,0.0451,3293.744849,,17.01551869,,,,0.88,0.001995,0.2346,3281.545163,1894.696442,19.95265117,6.651553947,11.08391258
0.45,0.001205,0.0609,3399.749578,2091.740097,17.32168048,6.554377357,8.57133389,,0.86,0.001392,0.225,3345.768513,1918.461749,19.37135349,6.369047322,10.87929039,,0.45,0.00171,0.0581,3281.545163,2051.373006,17.09970105,6.682223833,8.190069273,,0.86,0.001992,0.2323,3279.925487,1894.696442,19.8949981,6.638886226,11.04314979
0.53,0.00121,0.0653,3390.414007,2084.872363,17.29813222,6.538426808,8.571748217,,0.84,0.001398,0.2301,3340.488253,1918.461673,19.39071777,6.395584514,10.86327175,,0.53,0.001719,0.0637,3270.987889,,17.07927318,,,,0.84,0.001987,0.2297,3277.902735,1888.599779,19.82856082,6.582319183,11.05213524
0.58,0.001218,0.0723,3390.412945,2074.523065,17.41244189,6.519150697,8.72024096,,0.81,0.001385,0.2189,3340.48822,1918.461639,19.2131518,6.337018339,10.76379401,,0.58,0.001729,0.0699,3262.212999,,17.08658445,,,,0.81,0.001984,0.2276,3275.479118,1889.39824,19.76637243,6.576946617,10.99711027
0.75,0.001259,0.1078,3335.208054,2041.839095,17.40730534,6.52422178,8.708342966,,0.77,0.001378,0.2124,3336.977318,1919.621568,19.07034697,6.310784167,10.65596808,,0.75,0.001788,0.1064,3198.615255,2004.954573,16.98835969,6.6747732,8.088662092,,0.77,0.001977,0.2231,3270.642442,1895.49911,19.63552576,6.595133147,10.8420149
0.77,0.001267,0.115,3317.062471,2027.764177,17.33057083,6.47650133,8.695235727,,0.75,0.001377,0.2121,3293.705245,1928.75641,18.57492041,6.369601518,10.08211839,,0.77,0.001808,0.1187,3171.138722,,16.88358014,,,,0.75,0.001958,0.2119,3262.212645,1894.999421,19.35457973,6.53096528,10.64662602
0.81,0.001307,0.1502,3258.199213,1992.502929,17.24883659,6.450635106,8.647989782,,0.58,0.001223,0.0767,3436.290573,2062.397905,17.96026277,6.469606145,9.334121243,,0.81,0.001867,0.1553,3164.539818,,17.36205323,,,,0.58,0.001733,0.0724,3275.479835,2037.364659,17.26669106,6.680312752,8.359607391
0.84,0.00132,0.1616,3238.879385,1979.613618,17.2131174,6.430294236,8.639391753,,0.53,0.001219,0.0728,3390.414007,2075.203254,17.41959784,6.526103188,8.718126918,,0.84,0.001887,0.1679,3104.469236,1975.74009,16.89263185,6.841986625,7.769983015,,0.53,0.001731,0.0711,3290.075846,,17.39981071,,
0.86,0.001356,0.1933,3220.740431,1967.093565,17.48638722,6.522869296,8.789228162,,0.45,0.001205,0.0602,3399.749578,2079.921389,17.31018538,6.480519777,9.574910168,,0.86,0.00191,0.1819,3087.161519,,16.90393085,,,,0.45,0.00171,0.0581,3302.338844,,17.31709392,,
0.88,0.001382,0.2166,3192.684984,1927.665049,17.51760849,6.385954546,9.003002431,,0.3,0.001194,0.0508,3408.614002,2086.111231,17.24602159,6.459638298,8.633170527,,0.88,0.001975,0.2221,3130.807267,1898.21717,17.97692483,6.60837274,9.165761181,,0.3,0.00169,0.0457,3320.017219,,17.2982836,,
0.93,0.001404,0.2356,3370.633201,1916.724203,19.82983259,6.412321859,11.28007011,,0.12,0.001183,0.0407,3406.785214,2102.823081,17.06303703,6.50308105,8.396702438,,0.93,0.002,0.2377,3298.649995,,20.21171869,,,,0.12,0.001673,0.0351,3323.397454,2057.032675,17.15813904,6.57336878,8.393647333
0.98,0.001402,0.2338,3372.423376,1916.145843,19.82262417,6.399323828,11.2901924,,,,,,,,,,,0.98,0.002008,0.2427,3303.569663,1890.594171,20.35312796,6.665931609,11.46521914,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uncertainty (1 stdev),,,,,,,,,Uncertainty (1 stdev),,,,,,,,,Uncertainty (1 stdev),,,,,,,,,Uncertainty (1 stdev),,,,,,,
